link,id,title,header,header_image,subheader,description,difficulty,distance,duration,ascent,descent,peak
https://muntii-nostri.ro/ro/node/1226,1226,Stâna de Vale-P-na Stânişoara-Piatra Tâlharului-Şaua Vărăşoaia | Muntii Nostri,13MN16: Stâna de Vale-P-na Stânişoara-Piatra Tâlharului-Şaua Vărăşoaia,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_12_yellowridgetrack_0_resize.png?itok=tE6jwpB1,"Magistrala St. de Vale - Padiș, prin P-na Stânișoara","Traseul 16 Bandă Galbenă este traseul de tip magistrală ce leagă Stâna de Vale de Platoul carstic Padiş, zona Cabana Vărășoaia. Traseul oferă privelişti largi spre Valea Drăganului, Vârful Buteasa, Cetățile Rădesei și Cheile Someșului Cald.",mediu,"22,00km",9:00-10:00h,1284m,1042m,1702m
https://muntii-nostri.ro/ro/node/1229,1229,Salvamont Doda Pilii-V. Someşului Cald-Salvamont Doda Pilii | Muntii Nostri,13MN31: Salvamont Doda Pilii-V. Someşului Cald-Salvamont Doda Pilii,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_9_yellowcircuittrack_1_resize.png?itok=exLp_eVD,Circuitul molhașurilor Doda Pilii,"Traseul 31 Punct Galben este traseul în circuit de vizitare a Molhașurilor din zona Doda Pilii (turbării active cu umiditate excesivă pe un sol silicios). Molhașurile au un aspect pitoresc datorat coloritului ruginiu și a ochiurilor de apă, considerate ,,Ochii negrii ai naturii”.",uşor,"2,07km",~1:00h,67m,68m,1051m
https://muntii-nostri.ro/ro/node/1230,1230,Exploatarea Călimani-Şaua Nicovală | Muntii Nostri,15MN44: Exploatarea Călimani-Şaua Nicovală,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_3_bluepeaktrack_0_resize.png?itok=iasftduS,Legătura Exploatarea Călimani - Şaua Nicovală (sub Vf Rățițiș),"Traseul 44 Triunghi Albastru este calea cea mai ușoară de a ajunge de la Gura Haitii spre Vf. Răţiţiş, folosind drumul de beton al fostei exploatări miniere Călimani. Continuăm prin jenepenișul de sub Vf. Pietricelu, până în Şaua Nicovală (cca. 30 min de vf.).",mediu,"1,92km",1:00-2:00h,373m,4m,1920m
https://muntii-nostri.ro/ro/node/1313,1313,Băile Herculane (DN67D) - Vârful Domogledul Mare (1105 m) | Muntii Nostri,14MN06: Băile Herculane (DN67D) - Vârful Domogledul Mare (1105 m),https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_12_yellowridgetrack_0_resize.png?itok=tE6jwpB1,Băile Herculane - Vârful Domogledul Mare (pe Cărarea Pisicii),"Traseul 6 Bandă Galbenă este traseul de legătură între Băile Herculane (zona băilor termale) și Vârful Domogledul Mare (1105 m), vizitând punctul de belvedere Crucea Albă și rezervația naturală Domogled, cu Pini negri de Banat.",mediu,"3,28km",2:00-2:45h,967m,95m,1072m
https://muntii-nostri.ro/ro/node/1314,1314,DN 66 - Cantonul silvic Cutreasa - Valea Căpriorul | Muntii Nostri,12MN10: DN 66 - Cantonul silvic Cutreasa - Valea Căpriorul,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_9_yellowcircuittrack_1_resize.png?itok=exLp_eVD,Legătura Defileul Jiului - Cantonul silvic Cutreasa - V. Căpriorul,"Traseul 10 Punct Galben este traseul de legătură dintre Defileul Jiului (la ieșire din orașul Petroșani) și Cantonul silvic Cutreasa (V. Căpriorul), trecând prin Cheile Polatiștea, o zonă frumoasă unde de-o parte și de alta a drumului se înaltă pereţi vertical de stâncă.",mediu,"6,21km",1:30-2:00h,550m,210m,883m
https://muntii-nostri.ro/ro/node/1326,1326,Cabana Groapa Seacă - Plaiul lui Dăncilă - Vf. Mija | Muntii Nostri,12MN03: Cabana Groapa Seacă - Plaiul lui Dăncilă - Vf. Mija,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_6_redconnectiontrack_resize_2.png?itok=ELTDVbVO,Legătura  Cabana Groapa Seacă - Vf. Mija,"Traseul 3 Cruce Roșie este traseul de legătură între Cabana Groapa Seacă și Vf. Mija (2368 m). De pe vârful Mija putem face un tur de orizont și privi mai toate vârfurile aflate pe creasta principală a masivului Parâng. Jos în căldare vedem L. Mija, iar de partea cealaltă Tăul înghețat și Lacurile Verzi (L. Verde, L. MIc, L. Slivei).",mediu,"6,95km",3:30-4:30h,1260m,1260m,2353m
https://muntii-nostri.ro/ro/node/1327,1327,Șaua Scurtu - Lacul Mija | Muntii Nostri,12MN08: Șaua Scurtu - Lacul Mija,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_9_yellowcircuittrack_1_resize.png?itok=exLp_eVD,Legătura stațiunea Parâng - Lacul Mija,"Traseul 8 Punct Galben este traseul de acces la căldarea Lacului Mija, din Șaua Scurtu (creasta principală). Lacul Mija este cunoscut şi sub denumirea de Tăul de la Lunci sau Lacul Zăvoiele, un lac glaciar fermecător la 1975 m alt.",mediu,"1,75km",~1:00h,100m,230m,2115m
https://muntii-nostri.ro/ro/node/1328,1328,Șaua Pleșcoaia - Hornul Lacurilor - Lacul Gâlcescu | Muntii Nostri,12MN09: Șaua Pleșcoaia - Hornul Lacurilor - Lacul Gâlcescu,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_7_redpeaktrack_resize.png?itok=7xHobJco,Legătura Șaua Pleșcoaia (creasta principală) - Lacul Gâlcescu,"Traseul 9 Triunghi Roșu este traseul ce se desprinde din creasta principală (Șaua Pleșcoaia), în coborâre spre Căldarea Gâlcescu (Lacurilor). Circul Gâlcescu este unul complex, format din 3 praguri, delimitate de rupturi de pantă, fiecare adăpost pentru acuri glaciare unice și fermecătoare (Păsări, Pencu, Vidal, Iezer etc).",mediu,"1,70km",~1:00h,320m,320m,2231m
https://muntii-nostri.ro/ro/node/1329,1329,H. Bologa-Cabana Vlădeasa-Piatra Tâlharului-Şaua Vărăşoaia | Muntii Nostri,13MN01: H. Bologa-Cabana Vlădeasa-Piatra Tâlharului-Şaua Vărăşoaia,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_4_blueridgetrack_resize_0.png?itok=tw-S38_g,Traseul de creastă Cabana Vlădeasa - Platoul Padiș,"Traseul 1 Bandă Albastră este un traseu de creastă de tip magistrală, făcând legătura între Munții Vlădeasa și Platoul Carstic Padiș. Traseul oferă acces la ruinele Cetății Bologa, satul Rogojel, Cabana și Vf. Vlădeasa, Pietrele Albe, rezervația speologică Peștera Vârfuraşu, V. Stanciului (cu Cascada de la Tău și celebra Vălul Miresei), Piatra Grăitoare, Peștera Cerbului - Avenul cu Vacă, cetățile Rădesei și multe alte obiective carstice.",uşor/mediu,"45,63km",14:00-17:00h,1945m,1117m,1695m
https://muntii-nostri.ro/ro/node/1344,1344,Răchiţele-P-na La Cuciulata-Doda Pilii | Muntii Nostri,13MN32: Răchiţele-P-na La Cuciulata-Doda Pilii,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_10_yellowconnectiontrack_0_resize.png?itok=QGL1udUK,"Legătura Răchiţele - Doda Pilii, pe sub Vf. Cuciulata","Traseul 32 Cruce Galbenă este traseul de legătură între satul Răchiţele și zona Doda Pilii, urcând prin pădure pe sub Vf. Cuciulata și ajungând în Poiana La Cuciulata, de unde se coboară spre baza Salvamont Doda Pilii.",uşor,"5,64km",2:00-3:00h,344m,253m,1245m
https://muntii-nostri.ro/ro/node/1353,1353,Băile Herculane (DN67D) - Poiana Mușuroane | Muntii Nostri,14MN07: Băile Herculane (DN67D) - Poiana Mușuroane,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_7_redpeaktrack_resize.png?itok=7xHobJco,Băile Herculane - Poiana Mușuroane (peste Vf. Domogledul Mare),"Traseul 7 Triunghi Roșu este traseul de legătură între Băile Herculane (zona băilor termale) și Poiana Mușuroane (sub creasta Munţilor Mehedinţi), vizitând punctul de belvedere Crucea Albă și Vârful Domogledul Mare (1105 m).",mediu,"4,70km",3:00-3:30h,951m,378m,1074m
https://muntii-nostri.ro/ro/node/1385,1385,Andreneasa(DN15)-Peştera Mare din Andreneasa | Muntii Nostri,15MN21: Andreneasa(DN15)-Peştera Mare din Andreneasa,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_9_yellowcircuittrack_1_resize.png?itok=exLp_eVD,Legătura Andreneasa -Peştera Mare din Andreneasa,"Traseul 21 Punct Galben este traseul de acces la Peştera Mare din Andreneasa, una din cele peste 100 de peșteri de mulaj din Munţii Călimani, puțin cunoscute chiar și pentru localnici, formate acum 5 mil de ani și singurele de acest fel din țară.",mediu,"1,63km",0:45-1:15h,273m,101m,809m
https://muntii-nostri.ro/ro/node/1386,1386,Andreneasa(DN15)-Peştera Căsoaia lui Ladăş | Muntii Nostri,15MN22: Andreneasa(DN15)-Peştera Căsoaia lui Ladăş,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_5_redcircuittrack_resize.png?itok=gSsaGStE,Legătura Andreneasa - Peştera Căsoaia lui Ladăş,"Traseul 22 Punct Roșu este traseul de acces la Peştera Căsoaia lui Ladăş, una din cele peste 100 de peșteri de mulaj din Munţii Călimani, puțin cunoscute chiar și pentru localnici, formate acum 5 mil de ani și singurele de acest fel din țară.",uşor,"1,33km",0:30-1:00h,236m,79m,743m
https://muntii-nostri.ro/ro/node/1411,1411,P-na Lespezi-Peştera Mică a Lespezilor-V. Stanciului | Muntii Nostri,13MN09: P-na Lespezi-Peştera Mică a Lespezilor-V. Stanciului,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_6_redconnectiontrack_resize_2.png?itok=ELTDVbVO,Legătura Poiana Lespezi - Vârful Lespezi (belvedere V. Stanciului),"Traseul 9 Cruce Roșie este traseul spre unul din cele mai accesibile puncte de belvedere din zona Răchițele: Vârful Lespezi, cu deschidere spre Valea Stanciului, Vârful Țiclău, Platoul Vlădesei și minunata Cascada Valul Miresei. Traseul vizitează apoi Peştera Mică a Lespezilor, care merită vizitată cu ghid.",mediu,"1,18km",0:15-0:30h,60m,280m,1188m
https://muntii-nostri.ro/ro/node/1425,1425,Tureni - Cheile Turenilor - Copăceni | Muntii Nostri,10MN30: Tureni - Cheile Turenilor - Copăceni,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_1_bluecircuittrack_resize.png?itok=F_YTVlOW,Traseul Cheile Tureni (Turului),"Traseul 30 Punct Albastru este traseul ce parcurge Cheile Tureni, săpate de pârâul Racilor în aceeași formațiune calcaroasă cu Cheile Borzești și Cheile Turzii. Străbatem cheile pe un mal sau celălalt, alternativ, trecem o porțiune scurtă mai solicitantă, depășim o mică cascadă și ajungem la zona de picnic a localității Copăceni.",mediu,"5,78km",3:00-4:00h,70m,210m,524m
https://muntii-nostri.ro/ro/node/1426,1426,Cabana Cheile Turzii - Cheile Turzii (pe firul apei) - Petreștii de Jos | Muntii Nostri,10MN33: Cabana Cheile Turzii - Cheile Turzii (pe firul apei) - Petreștii de Jos,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_5_redcircuittrack_resize.png?itok=gSsaGStE,Traseul de vizitare Cheile Turzii pe firul apei,"Traseul 33 Punct Roșu este traseul care pătrunde în Cheile Turzii pe firul văii, plecând de la cabana Cheile Turzii (cu acces auto) sau de la marginea satului Petreștii de Jos. Este probabil cel mai folosit traseu din Munţii Trascău. Ne bucurăm de peisajul extraordinar dat de pereții stâncoși, floră diversă și plante rare, o biodiversitate care i-a conferit în timp statutul de monument al naturii.",uşor,"3,25km",~1:00h,70m,90m,578m
https://muntii-nostri.ro/ro/node/1427,1427,Centrul de Informare Turistică Rimetea - Fânaţu Mare - sub Colţii Trascăului | Muntii Nostri,10MN10: Centrul de Informare Turistică Rimetea - Fânaţu Mare - sub Colţii Trascăului,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_3_bluepeaktrack_0_resize.png?itok=iasftduS,Legătura  Rimetea - Colţii Trascăului (la stânga Pietrei Secuiului),"Traseul 10 Triunghi Albastru este traseul de legătură între Centrul de Informare Turistică Rimetea și rezervația Muntele Piatra Secuiului, în apropiere de Colții Trascăului. Avem ocazia să admirăm satul Rimetea și Colţii Trascăului în toată splendoarea lor, Depresiunea Trascăului, Cetatea Trascăului), Culmea Ardașcheia cu Pădurea Oprită ș.a.",mediu,"3,20km",1:30-2:00h,490m,60m,927m
https://muntii-nostri.ro/ro/node/1428,1428,Colţești - Cetatea Trascăului | Muntii Nostri,10MN11: Colţești - Cetatea Trascăului,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_3_bluepeaktrack_0_resize.png?itok=iasftduS,Legătura  Colţești - Cetatea Colțești (Torockóvár),"Traseul 11 Triunghi Albastru este traseul de vizitare a cetății Colțești, fortificaţia, cunoscută şi sub numele de Cetatea Trascăului sau Torockóvár, în maghiară. Traseu scurt din Colțești cu priveliști largi spre Colţii Trascăului și Piatra Secuiului, Depresiunea Trascăului cu satele Rimetea și Colțești și culmile înconjurătoare (Mt. Sălaș, Vf. Ardașcheia ș.a)",uşor,"2,04km",~1:00h,150m,10m,707m
https://muntii-nostri.ro/ro/node/1429,1429,Circuit Cheile Vălișoarei (Aiudului) - versantul drept | Muntii Nostri,10MN12: Circuit Cheile Vălișoarei (Aiudului) - versantul drept,https://muntii-nostri.ro/sites/default/files/styles/touristik_label/public/9200_5_redcircuittrack_resize.png?itok=gSsaGStE,Circuitul Cheilor Vălișoarei (Aiudului) - versantul drept,"Traseul 12 Punct Roșu este traseul tematic în circuit de parcurgere a versantului drept al Cheilor Vălișoarei (Aiudului). Priveliști excelente spre Templul Cavalerilor, Peștera Puculea,  Depresiunea Trascăului și Vf. Data (de pe Vf. Bogza Mare), Valea Aiudului și amfiteatrul Cheilor Vălișoarei (de pe Vf. Bogza Mică). Potecă rar umblată.",mediu,"4,21km",2:00-3:00h,510m,510m,741m
